sample,amusing,angry,annoying,anxious/tense,awe-inspiring/amazing,beautiful,bittersweet,calm/relaxing/serene,compassionate/sympathetic,dreamy,eerie/mysterious,energizing/pump-up,entrancing,erotic/desirous,euphoric/ecstatic,exciting,goose bumps,indignant/defiant,joyful/cheerful,nauseating/revolting,painful,proud/strong,romantic/loving,sad/depressing,scary/fearful,tender/longing,transcendent/mystical,triumphant/heroic
01 - Tree Dance&1.mp3,0.055556,0,0.11111,0.055556,0.11111,0.27778,0.055556,0.5,0.22222,0.55556,0.11111,0.055556,0.11111,0.055556,0,0,0.055556,0,0.055556,0,0,0,0.11111,0.055556,0,0.11111,0.055556,0
04F4xlWSFh0_18.mp3,0.055556,0,0.16667,0.22222,0,0,0,0,0,0,0.055556,0.33333,0.055556,0,0.11111,0.16667,0,0.27778,0,0.055556,0.11111,0.33333,0,0,0.11111,0,0,0.11111
04F4xlWSFh0_75.mp3,0,0.22222,0.22222,0.16667,0,0,0,0,0,0,0.055556,0.5,0,0,0.055556,0.27778,0,0.22222,0.055556,0.11111,0.22222,0.33333,0,0,0.22222,0,0,0.16667
05UApr2UQHQ_227.mp3,0.11111,0,0,0.11111,0.11111,0.16667,0,0.16667,0,0.22222,0.11111,0.27778,0.16667,0.055556,0.16667,0.11111,0,0,0,0.055556,0,0,0.055556,0,0,0,0,0
073TNjLc070_40.mp3,0.11111,0,0.16667,0,0.055556,0.055556,0,0.055556,0.11111,0.055556,0.055556,0.38889,0.11111,0.33333,0.11111,0.22222,0,0,0.22222,0,0,0,0,0,0,0,0.16667,0
0DugzooGWKk_1.mp3,0,0,0,0,0.055556,0.16667,0.16667,0.16667,0.16667,0.11111,0,0.055556,0.16667,0,0,0.11111,0,0,0.33333,0,0,0.27778,0.055556,0,0,0.11111,0,0
0HDdjwpPM3Y_10.mp3,0.055556,0,0.11111,0,0.11111,0,0,0,0,0,0,0.61111,0.055556,0.16667,0.11111,0.44444,0,0.055556,0.5,0,0,0.055556,0,0,0,0,0,0
0QBx-TRKhVs_25.mp3,0.22222,0.055556,0.11111,0.27778,0,0,0.055556,0,0,0,0,0.27778,0.11111,0,0.055556,0.22222,0,0,0.22222,0.055556,0,0.055556,0,0,0,0,0,0
0S43IwBF0uM_60.mp3,0,0,0.055556,0.055556,0.11111,0,0,0.11111,0,0.11111,0,0.44444,0.11111,0.055556,0.16667,0.11111,0,0,0.11111,0,0,0.11111,0.055556,0,0,0.055556,0.16667,0.055556
0Uv4lJsu0Jw_565.mp3,0.11111,0,0,0,0.22222,0.61111,0.27778,0.44444,0.27778,0.33333,0,0,0.055556,0,0,0,0,0,0.22222,0,0,0,0.055556,0.22222,0,0.11111,0.055556,0
0Wv3Ya9nskA_23.mp3,0,0,0.055556,0,0.11111,0.11111,0.11111,0.38889,0.16667,0.27778,0.11111,0,0.055556,0,0.11111,0,0.055556,0,0.055556,0,0,0,0,0.22222,0,0.11111,0.22222,0
0XZJ5mD6nSU_22.mp3,0.055556,0,0,0,0,0.22222,0,0.38889,0.055556,0.33333,0,0,0.055556,0.11111,0,0.055556,0.055556,0.055556,0,0,0,0,0.16667,0.11111,0,0.11111,0.055556,0
0dtkfpTwDxU_1.mp3,0,0,0.83333,0.11111,0.055556,0,0,0,0,0,0.055556,0.11111,0.11111,0,0,0.055556,0,0,0,0.11111,0.055556,0,0,0,0,0,0,0
0dtkfpTwDxU_152.mp3,0.037037,0.037037,0.074074,0.14815,0.037037,0,0,0,0.037037,0,0,0.62963,0.037037,0.037037,0.037037,0.22222,0,0.074074,0.11111,0,0,0.037037,0,0,0,0,0,0.074074
